[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
[-2.618, -3.009, -0.003, -3.015, 0.479, 1.172]
